what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319380599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319381691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319383453
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368319481375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319481505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319482984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319518144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319522159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319523073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319568471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319569978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368320273459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368320274969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368320280175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323320507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323324394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323324698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323327848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323329207
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368323329389
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1368323329816
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1368323329817
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1368323329817
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1368323329818
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1368323329818
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1368323329819
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1368323329820
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1368323329820
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1368323329820
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1368323329821
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1368323329821
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1368323329821
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1368323329822
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1368323329822
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1368323329823
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1368323329824
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1368323329825
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1368323329826
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1368323329826
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1368323329827
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20120130-0943,"org.eclipse.emf.cheatsheets",1368323329828
stopped,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1368323329828
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.1.0.v201302060044-569685,"overlay.com.android.ide.eclipse.adt.overlay",1368323329829
stopped,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1368323329829
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1368323329830
stopped,bundle,org.eclipse.emf.eef.codegen,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen",1368323329831
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1368323329832
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1368323329832
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1368323329833
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1368323329834
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1368323329834
stopped,bundle,org.eclipse.sdk,3.7.2.v201202080800,"org.eclipse.sdk",1368323329835
